Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,Type,Goal_assist
16-17,UEFA Champions League,Group Stage,19-10-16,H,FC Barcelona,Manchester City,4:00,RW,17,Left-footed shot,Andres Iniesta
16-17,UEFA Champions League,Group Stage,19-10-16,H,FC Barcelona,Manchester City,4:00,RW,61,Left-footed shot,Andres Iniesta
16-17,UEFA Champions League,Group Stage,19-10-16,H,FC Barcelona,Manchester City,4:00,RW,69,Left-footed shot,Luis Suarez
16-17,LaLiga,9,22-10-16,A,FC Barcelona,Valencia CF,2:03,RW,22,Left-footed shot,Ivan Rakitic
16-17,LaLiga,9,22-10-16,A,FC Barcelona,Valencia CF,2:03,RW,90+4,Penalty,
16-17,UEFA Champions League,Group Stage,01-11-16,A,FC Barcelona,Manchester City,3:01,RW ,21,Left-footed shot,Neymar
16-17,LaLiga,11,06-11-16,A,FC Barcelona,Sevilla FC,1:02,RW ,43,Left-footed shot,Neymar
16-17,UEFA Champions League,Group Stage,23-11-16,A,FC Barcelona,Celtic FC,0:02,RW ,24,Left-footed shot,Neymar
16-17,UEFA Champions League,Group Stage,23-11-16,A,FC Barcelona,Celtic FC,0:02,RW ,55,Penalty,
16-17,LaLiga,13,27-11-16,A,FC Barcelona,Real Sociedad,1:01,RW ,59,Left-footed shot,Neymar
16-17,UEFA Champions League,Group Stage,06-12-16,H,FC Barcelona,Borussia Mönchengladbach,4:00,RW,16,Left-footed shot,Arda Turan
16-17,LaLiga,15,10-12-16,A,FC Barcelona,CA Osasuna,0:03,RW,72,Left-footed shot,Jordi Alba
16-17,LaLiga,15,10-12-16,A,FC Barcelona,CA Osasuna,0:03,RW,90+2,Left-footed shot,Sergio Busquets
16-17,LaLiga,16,18-12-16,H,FC Barcelona,RCD Espanyol Barcelona,4:01,RW,90,Left-footed shot,Luis Suarez
16-17,Copa del Rey,last 16,05-01-17,A,FC Barcelona,Athletic Bilbao,2:01,RW,52,Direct free kick,
16-17,LaLiga,17,08-01-17,A,FC Barcelona,Villarreal CF,1:01,RW,90,Direct free kick,
16-17,Copa del Rey,last 16,11-01-17,H,FC Barcelona,Athletic Bilbao,3:01,RW,78,Direct free kick,
16-17,LaLiga,18,14-01-17,H,FC Barcelona,UD Las Palmas,5:00,RW ,52,Right-footed shot,
16-17,LaLiga,19,22-01-17,A,FC Barcelona,SD Eibar,0:04,RW ,50,Left-footed shot,Luis Suarez
16-17,Copa del Rey,Quarter-Finals,26-01-17,H,FC Barcelona,Real Sociedad,5:02,RW ,55,Penalty,
16-17,Copa del Rey,Semi-Finals,01-02-17,A,FC Barcelona,Atletico de Madrid,1:02,RW ,33,Left-footed shot,Ivan Rakitic
16-17,LaLiga,21,04-02-17,H,FC Barcelona,Athletic Bilbao,3:00,RW ,40,Direct free kick,
16-17,LaLiga,22,11-02-17,A,FC Barcelona,Deportivo Alaves,0:06,RW ,59,Left-footed shot,Neymar
16-17,LaLiga,23,19-02-17,H,FC Barcelona,CD Leganes,2:01,RW,4,Right-footed shot,Luis Suarez
16-17,LaLiga,23,19-02-17,H,FC Barcelona,CD Leganes,2:01,RW,90,Penalty,
16-17,LaLiga,24,26-02-17,A,FC Barcelona,Atletico de Madrid,1:02,RW,86,Left-footed shot,
16-17,LaLiga,25,01-03-17,H,FC Barcelona,Sporting Gijón,6:01,RW ,9,Header,Javier Mascherano
16-17,LaLiga,26,04-03-17,H,FC Barcelona,Celta de Vigo,5:00,AM ,24,Left-footed shot,Sergio Busquets
16-17,LaLiga,26,04-03-17,H,FC Barcelona,Celta de Vigo,5:00,AM ,64,Left-footed shot,
16-17,UEFA Champions League,last 16,08-03-17,H,FC Barcelona,Paris Saint-Germain,6:01,AM,50,Penalty,
16-17,LaLiga,28,19-03-17,H,FC Barcelona,Valencia CF,4:02,AM,45,Penalty,
16-17,LaLiga,28,19-03-17,H,FC Barcelona,Valencia CF,4:02,AM,53,Right-footed shot,Javier Mascherano
16-17,LaLiga,30,05-04-17,H,FC Barcelona,Sevilla FC,3:00,RW,28,Right-footed shot,Luis Suarez
16-17,LaLiga,30,05-04-17,H,FC Barcelona,Sevilla FC,3:00,RW,33,Left-footed shot,
16-17,LaLiga,32,15-04-17,H,FC Barcelona,Real Sociedad,3:02,RW ,17,Left-footed shot,Luis Suarez
16-17,LaLiga,32,15-04-17,H,FC Barcelona,Real Sociedad,3:02,RW ,37,Tap-in,
16-17,LaLiga,33,23-04-17,A,FC Barcelona,Real Madrid,2:03,RW,33,Left-footed shot,Ivan Rakitic
16-17,LaLiga,33,23-04-17,A,FC Barcelona,Real Madrid,2:03,RW,90+2,Left-footed shot,Jordi Alba
16-17,LaLiga,34,26-04-17,H,FC Barcelona,CA Osasuna,7:01,AM ,12,Left-footed shot,
16-17,LaLiga,34,26-04-17,H,FC Barcelona,CA Osasuna,7:01,AM ,61,Left-footed shot,Ivan Rakitic
16-17,LaLiga,36,06-05-17,H,FC Barcelona,Villarreal CF,4:01,RW,45,Left-footed shot,Sergio Busquets
16-17,LaLiga,36,06-05-17,H,FC Barcelona,Villarreal CF,4:01,RW,82,Penalty,
16-17,LaLiga,38,21-05-17,H,FC Barcelona,SD Eibar,4:02,RW,75,Penalty,
16-17,LaLiga,38,21-05-17,H,FC Barcelona,SD Eibar,4:02,RW,90+2,Right-footed shot,
16-17,Copa del Rey,Final,27-05-17,H,FC Barcelona,Deportivo Alaves,3:01,RW,30,Left-footed shot,Neymar
17-18,Supercopa,final,13-08-17,H,FC Barcelona,Real Madrid,1:03,RW,77,Penalty,
17-18,LaLiga,2,26-08-17,A,FC Barcelona,Deportivo Alaves,0:02,CF,55,Left-footed shot,Jordi Alba
17-18,LaLiga,2,26-08-17,A,FC Barcelona,Deportivo Alaves,0:02,CF,66,Left-footed shot,Paco Alcacer
17-18,LaLiga,3,09-09-17,H,FC Barcelona,RCD Espanyol Barcelona,5:00,CF,26,Left-footed shot,Ivan Rakitic
17-18,LaLiga,3,09-09-17,H,FC Barcelona,RCD Espanyol Barcelona,5:00,CF,35,Right-footed shot,Jordi Alba
17-18,LaLiga,3,09-09-17,H,FC Barcelona,RCD Espanyol Barcelona,5:00,CF,67,Left-footed shot,Jordi Alba
17-18,UEFA Champions League,Group Stage,12-09-17,H,FC Barcelona,Juventus FC,3:00,CF,45,Left-footed shot,Luis Suarez
17-18,UEFA Champions League,Group Stage,12-09-17,H,FC Barcelona,Juventus FC,3:00,CF,69,Left-footed shot,
17-18,LaLiga,5,19-09-17,H,FC Barcelona,SD Eibar,6:01,CF,21,Penalty,
17-18,LaLiga,5,19-09-17,H,FC Barcelona,SD Eibar,6:01,CF,59,Left-footed shot,Sergio Busquets
17-18,LaLiga,5,19-09-17,H,FC Barcelona,SD Eibar,6:01,CF,62,Left-footed shot,Paulinho
17-18,LaLiga,5,19-09-17,H,FC Barcelona,SD Eibar,6:01,CF,87,Left-footed shot,Aleix Vidal
17-18,LaLiga,7,01-10-17,H,FC Barcelona,UD Las Palmas,3:00,SS,70,Left-footed shot,Denis Suarez
17-18,LaLiga,7,01-10-17,H,FC Barcelona,UD Las Palmas,3:00,SS,77,Left-footed shot,Luis Suarez
17-18,UEFA Champions League,Group Stage,18-10-17,H,FC Barcelona,Olympiacos Piraeus,3:01,CF,61,Direct free kick,
17-18,LaLiga,10,28-10-17,A,FC Barcelona,Athletic Bilbao,0:02,SS ,37,Left-footed shot,Jordi Alba
17-18,LaLiga,14,02-12-17,H,FC Barcelona,Celta de Vigo,2:02,SS,22,Left-footed shot,Paulinho
17-18,LaLiga,15,10-12-17,A,FC Barcelona,Villarreal CF,0:02,RW ,83,Left-footed shot,Sergio Busquets
17-18,LaLiga,17,23-12-17,A,FC Barcelona,Real Madrid,0:03,SS,64,Penalty,
17-18,LaLiga,18,07-01-18,H,FC Barcelona,Levante UD,3:00,SS,12,Left-footed shot,Jordi Alba
17-18,Copa del Rey,last 16,11-01-18,H,FC Barcelona,Celta de Vigo,5:00,SS,13,Left-footed shot,Jordi Alba
17-18,Copa del Rey,last 16,11-01-18,H,FC Barcelona,Celta de Vigo,5:00,SS,15,Left-footed shot,Jordi Alba
17-18,LaLiga,19,14-01-18,A,FC Barcelona,Real Sociedad,2:04,SS ,85,Direct free kick,
17-18,LaLiga,20,21-01-18,A,FC Barcelona,Real Betis Balompie,0:05,SS ,64,Left-footed shot,Sergio Busquets
17-18,LaLiga,20,21-01-18,A,FC Barcelona,Real Betis Balompie,0:05,SS ,80,Left-footed shot,Luis Suarez
17-18,Copa del Rey,Quarter-Finals,25-01-18,H,FC Barcelona,RCD Espanyol Barcelona,2:00,SS,25,Deflected shot on goal,
17-18,LaLiga,21,28-01-18,H,FC Barcelona,Deportivo Alaves,2:01,SS,84,Direct free kick,
17-18,UEFA Champions League,last 16,20-02-18,A,FC Barcelona,Chelsea FC,1:01,SS,75,Left-footed shot,Andres Iniesta
17-18,LaLiga,25,24-02-18,H,FC Barcelona,Girona FC,6:01,SS ,30,Left-footed shot,Luis Suarez
17-18,LaLiga,25,24-02-18,H,FC Barcelona,Girona FC,6:01,SS ,36,Direct free kick,
17-18,LaLiga,26,01-03-18,A,FC Barcelona,UD Las Palmas,1:01,SS,21,Direct free kick,
17-18,LaLiga,27,04-03-18,H,FC Barcelona,Atletico de Madrid,1:00,SS,26,Direct free kick,
17-18,UEFA Champions League,last 16,14-03-18,H,FC Barcelona,Chelsea FC,3:00,SS,3,Right-footed shot,Luis Suarez
17-18,UEFA Champions League,last 16,14-03-18,H,FC Barcelona,Chelsea FC,3:00,SS,63,Left-footed shot,Luis Suarez
17-18,LaLiga,29,18-03-18,H,FC Barcelona,Athletic Bilbao,2:00,SS ,30,Left-footed shot,Ousmane Dembele
17-18,LaLiga,30,31-03-18,A,FC Barcelona,Sevilla FC,2:02,RW,89,Left-footed shot,Philippe Coutinho
17-18,LaLiga,31,07-04-18,H,FC Barcelona,CD Leganes,3:01,SS ,27,Direct free kick,
17-18,LaLiga,31,07-04-18,H,FC Barcelona,CD Leganes,3:01,SS ,32,Left-footed shot,Philippe Coutinho
17-18,LaLiga,31,07-04-18,H,FC Barcelona,CD Leganes,3:01,SS ,87,Left-footed shot,Ousmane Dembele
17-18,Copa del Rey,Final,21-04-18,A,FC Barcelona,Sevilla FC,0:05,SS,31,Left-footed shot,Jordi Alba
17-18,LaLiga,35,29-04-18,A,FC Barcelona,Deportivo de La Coruaa,2:04,CF ,38,Left-footed shot,Luis Suarez
17-18,LaLiga,35,29-04-18,A,FC Barcelona,Deportivo de La Coruaa,2:04,CF ,82,Right-footed shot,Luis Suarez
17-18,LaLiga,35,29-04-18,A,FC Barcelona,Deportivo de La Coruaa,2:04,CF ,85,Left-footed shot,Luis Suarez
17-18,LaLiga,36,06-05-18,H,FC Barcelona,Real Madrid,2:02,SS,52,Left-footed shot,Luis Suarez
17-18,LaLiga,34,09-05-18,H,FC Barcelona,Villarreal CF,5:01,CF,45,Left-footed shot,Andres Iniesta
18-19,LaLiga,1,18-08-18,H,FC Barcelona,Deportivo Alaves,3:00,RW ,64,Direct free kick,
18-19,LaLiga,1,18-08-18,H,FC Barcelona,Deportivo Alaves,3:00,RW ,90+2,Left-footed shot,Luis Suarez
18-19,LaLiga,3,02-09-18,H,FC Barcelona,SD Huesca,8:02,RW ,16,Right-footed shot,Ivan Rakitic
18-19,LaLiga,3,02-09-18,H,FC Barcelona,SD Huesca,8:02,RW ,61,Left-footed shot,Philippe Coutinho
18-19,UEFA Champions League,Group Stage,18-09-18,H,FC Barcelona,PSV Eindhoven,4:00,RW ,31,Direct free kick,
18-19,UEFA Champions League,Group Stage,18-09-18,H,FC Barcelona,PSV Eindhoven,4:00,RW ,77,Left-footed shot,Ivan Rakitic
18-19,UEFA Champions League,Group Stage,18-09-18,H,FC Barcelona,PSV Eindhoven,4:00,RW ,87,Right-footed shot,Luis Suarez
18-19,LaLiga,5,23-09-18,H,FC Barcelona,Girona FC,2:02,RW ,19,Left-footed shot,Arturo Vidal
18-19,UEFA Champions League,Group Stage,03-10-18,A,FC Barcelona,Tottenham Hotspur,2:04,RW ,56,Left-footed shot,Jordi Alba
18-19,UEFA Champions League,Group Stage,03-10-18,A,FC Barcelona,Tottenham Hotspur,2:04,RW ,90,Left-footed shot,Jordi Alba
18-19,LaLiga,8,07-10-18,A,FC Barcelona,Valencia CF,1:01,RW ,23,Left-footed shot,Luis Suarez
18-19,LaLiga,9,20-10-18,H,FC Barcelona,Sevilla FC,4:02,RW ,12,Left-footed shot,Luis Suarez
18-19,LaLiga,12,11-11-18,H,FC Barcelona,Real Betis Balompie,3:04,SS ,68,Penalty,
18-19,LaLiga,12,11-11-18,H,FC Barcelona,Real Betis Balompie,3:04,SS ,90+4,Left-footed shot,Arturo Vidal
18-19,UEFA Champions League,Group Stage,28-11-18,A,FC Barcelona,PSV Eindhoven,1:02,CF ,61,Left-footed shot,Ousmane Dembele
18-19,LaLiga,15,08-12-18,A,FC Barcelona,RCD Espanyol Barcelona,0:04,RW ,17,Direct free kick,
18-19,LaLiga,15,08-12-18,A,FC Barcelona,RCD Espanyol Barcelona,0:04,RW ,65,Direct free kick,
18-19,LaLiga,16,16-12-18,A,FC Barcelona,Levante UD,0:05,SS ,43,Right-footed shot,Sergio Busquets
18-19,LaLiga,16,16-12-18,A,FC Barcelona,Levante UD,0:05,SS ,47,Left-footed shot,
18-19,LaLiga,16,16-12-18,A,FC Barcelona,Levante UD,0:05,SS ,60,Left-footed shot,Arturo Vidal
18-19,LaLiga,17,22-12-18,H,FC Barcelona,Celta de Vigo,2:00,RW ,45,Left-footed shot,Jordi Alba
18-19,LaLiga,18,06-01-19,A,FC Barcelona,Getafe CF,1:02,RW ,20,Left-footed shot,
18-19,LaLiga,19,13-01-19,H,FC Barcelona,SD Eibar,3:00,RW ,53,Left-footed shot,Luis Suarez
18-19,Copa del Rey,last 16,17-01-19,H,FC Barcelona,Levante UD,3:00,CF ,54,Left-footed shot,Nelson Semedo
18-19,LaLiga,20,20-01-19,H,FC Barcelona,CD Leganes,3:01,SS,90+2,Right-footed shot,Jordi Alba
18-19,LaLiga,21,27-01-19,A,FC Barcelona,Girona FC,0:02,RW ,69,Left-footed shot,Jordi Alba
18-19,Copa del Rey,Quarter-Finals,30-01-19,H,FC Barcelona,Sevilla FC,6:01,RW ,90+2,Left-footed shot,Jordi Alba
18-19,LaLiga,22,02-02-19,H,FC Barcelona,Valencia CF,2:02,RW ,39,Penalty,
18-19,LaLiga,22,02-02-19,H,FC Barcelona,Valencia CF,2:02,RW ,64,Left-footed shot,Arturo Vidal
18-19,LaLiga,24,16-02-19,H,FC Barcelona,Real Valladolid CF,1:00,RW ,43,Penalty,
18-19,LaLiga,25,23-02-19,A,FC Barcelona,Sevilla FC,2:04,RW ,26,Left-footed shot,Ivan Rakitic
18-19,LaLiga,25,23-02-19,A,FC Barcelona,Sevilla FC,2:04,RW ,67,Right-footed shot,Ousmane Dembele
18-19,LaLiga,25,23-02-19,A,FC Barcelona,Sevilla FC,2:04,RW ,85,Left-footed shot,
18-19,LaLiga,27,09-03-19,H,FC Barcelona,Rayo Vallecano,3:01,RW ,51,Penalty,
18-19,UEFA Champions League,last 16,13-03-19,H,FC Barcelona,Olympique Lyon,5:01,RW ,18,Penalty,
18-19,UEFA Champions League,last 16,13-03-19,H,FC Barcelona,Olympique Lyon,5:01,RW ,78,Right-footed shot,Sergio Busquets
18-19,LaLiga,28,17-03-19,A,FC Barcelona,Real Betis Balompie,1:04,SS ,18,Direct free kick,
18-19,LaLiga,28,17-03-19,A,FC Barcelona,Real Betis Balompie,1:04,SS ,45+2,Left-footed shot,Luis Suarez
18-19,LaLiga,28,17-03-19,A,FC Barcelona,Real Betis Balompie,1:04,SS ,85,Left-footed shot,Ivan Rakitic
18-19,LaLiga,29,30-03-19,H,FC Barcelona,RCD Espanyol Barcelona,2:00,RW ,71,Direct free kick,
18-19,LaLiga,29,30-03-19,H,FC Barcelona,RCD Espanyol Barcelona,2:00,RW ,89,Left-footed shot,Malcom
18-19,LaLiga,30,02-04-19,A,FC Barcelona,Villarreal CF,4:04,RW,90,Direct free kick,
18-19,LaLiga,31,06-04-19,H,FC Barcelona,Atletico de Madrid,2:00,SS ,87,Left-footed shot,
18-19,UEFA Champions League,Quarter-Finals,16-04-19,H,FC Barcelona,Manchester United,3:00,RW ,16,Left-footed shot,
18-19,UEFA Champions League,Quarter-Finals,16-04-19,H,FC Barcelona,Manchester United,3:00,RW ,20,Right-footed shot,
18-19,LaLiga,35,27-04-19,H,FC Barcelona,Levante UD,1:00,RW,62,Left-footed shot,Arturo Vidal
18-19,UEFA Champions League,Semi-Finals,01-05-19,H,FC Barcelona,Liverpool FC,3:00,RW ,75,Left-footed shot,Luis Suarez
18-19,UEFA Champions League,Semi-Finals,01-05-19,H,FC Barcelona,Liverpool FC,3:00,RW ,82,Direct free kick,
18-19,LaLiga,38,19-05-19,A,FC Barcelona,SD Eibar,2:02,CF ,31,Left-footed shot,Arturo Vidal
18-19,LaLiga,38,19-05-19,A,FC Barcelona,SD Eibar,2:02,CF ,32,Left-footed shot,Ivan Rakitic
18-19,Copa del Rey,Final,25-05-19,H,FC Barcelona,Valencia CF,1:02,CF ,73,Left-footed shot,Clement Lenglet
19-20,LaLiga,8,06-10-19,H,FC Barcelona,Sevilla FC,4:00,RW ,78,Direct free kick,
19-20,LaLiga,9,19-10-19,A,FC Barcelona,SD Eibar,0:03,RW ,58,Left-footed shot,Antoine Griezmann
19-20,UEFA Champions League,Group Stage,23-10-19,A,FC Barcelona,SK Slavia Prague,1:02,RW ,3,Left-footed shot,Arthur
19-20,LaLiga,11,29-10-19,H,FC Barcelona,Real Valladolid CF,5:01,RW ,34,Direct free kick,
19-20,LaLiga,11,29-10-19,H,FC Barcelona,Real Valladolid CF,5:01,RW ,75,Left-footed shot,Ivan Rakitic
19-20,LaLiga,12,02-11-19,A,FC Barcelona,Levante UD,3:01,RW ,38,Penalty,
19-20,LaLiga,13,09-11-19,H,FC Barcelona,Celta de Vigo,4:01,RW ,23,Penalty,
19-20,LaLiga,13,09-11-19,H,FC Barcelona,Celta de Vigo,4:01,RW ,45+1,Direct free kick,
19-20,LaLiga,13,09-11-19,H,FC Barcelona,Celta de Vigo,4:01,RW ,48,Direct free kick,
19-20,UEFA Champions League,Group Stage,27-11-19,H,FC Barcelona,Borussia Dortmund,3:01,RW ,33,Left-footed shot,Luis Suarez
19-20,LaLiga,15,01-12-19,A,FC Barcelona,Atletico de Madrid,0:01,RW ,86,Left-footed shot,Luis Suarez
19-20,LaLiga,16,07-12-19,H,FC Barcelona,RCD Mallorca,5:02,RW ,17,Left-footed shot,Antoine Griezmann
19-20,LaLiga,16,07-12-19,H,FC Barcelona,RCD Mallorca,5:02,RW ,41,Left-footed shot,Ivan Rakitic
19-20,LaLiga,16,07-12-19,H,FC Barcelona,RCD Mallorca,5:02,RW ,83,Left-footed shot,Luis Suarez
19-20,LaLiga,18,21-12-19,H,FC Barcelona,Deportivo Alaves,4:01,RW ,69,Left-footed shot,Luis Suarez
19-20,Supercopa,Semi-Finals,09-01-20,H,FC Barcelona,Atletico de Madrid,2:03,RW ,51,Right-footed shot,Luis Suarez
19-20,LaLiga,20,19-01-20,H,FC Barcelona,Granada CF,1:00,CF ,76,Right-footed shot,Arturo Vidal
19-20,Copa del Rey,Round of 16,30-01-20,H,FC Barcelona,CD Leganes,5:00,RW ,59,Left-footed shot,Frenkie de Jong
19-20,Copa del Rey,Round of 16,30-01-20,H,FC Barcelona,CD Leganes,5:00,RW ,89,Left-footed shot,Ivan Rakitic
19-20,LaLiga,25,22-02-20,H,FC Barcelona,SD Eibar,5:00,SS ,14,Left-footed shot,Ivan Rakitic
19-20,LaLiga,25,22-02-20,H,FC Barcelona,SD Eibar,5:00,SS ,37,Left-footed shot,Arturo Vidal
19-20,LaLiga,25,22-02-20,H,FC Barcelona,SD Eibar,5:00,SS ,40,Left-footed shot,
19-20,LaLiga,25,22-02-20,H,FC Barcelona,SD Eibar,5:00,SS ,87,Left-footed shot,
19-20,LaLiga,27,07-03-20,H,FC Barcelona,Real Sociedad,1:00,CF ,81,Penalty,
19-20,LaLiga,28,13-06-20,A,FC Barcelona,RCD Mallorca,0:04,RW ,90+3,Right-footed shot,Luis Suarez
19-20,LaLiga,29,16-06-20,H,FC Barcelona,CD Leganes,2:00,RW ,69,Penalty,
19-20,LaLiga,33,30-06-20,H,FC Barcelona,Atletico de Madrid,2:02,SS ,50,Penalty,
19-20,LaLiga,37,16-07-20,H,FC Barcelona,CA Osasuna,1:02,RW ,62,Direct free kick,
19-20,LaLiga,38,19-07-20,A,FC Barcelona,Deportivo Alaves,0:05,RW ,34,Left-footed shot,Riqui Puig
19-20,LaLiga,38,19-07-20,A,FC Barcelona,Deportivo Alaves,0:05,RW ,75,Left-footed shot,Jordi Alba
19-20,UEFA Champions League,last 16,08-08-20,H,FC Barcelona,SSC Napoli,3:01,SS ,23,Left-footed shot,
20-21,LaLiga,3,27-09-20,H,FC Barcelona,Villarreal CF,4:00,CF ,35,Penalty,
20-21,UEFA Champions League,Group Stage,20-10-20,H,FC Barcelona,Ferencvarosi TC,5:01,CF ,27,Penalty,
20-21,UEFA Champions League,Group Stage,28-10-20,A,FC Barcelona,Juventus FC,0:02,CF ,90+1,Penalty,
20-21,UEFA Champions League,Group Stage,04-11-20,H,FC Barcelona,Dynamo Kyiv,2:01,RW ,5,Penalty,
20-21,LaLiga,9,07-11-20,H,FC Barcelona,Real Betis Balompie,5:02,CF,61,Penalty,
20-21,LaLiga,9,07-11-20,H,FC Barcelona,Real Betis Balompie,5:02,CF,82,Left-footed shot,Sergi Roberto
20-21,LaLiga,11,29-11-20,H,FC Barcelona,CA Osasuna,4:00,RW ,73,Left-footed shot,Francisco Trincão
20-21,LaLiga,13,13-12-20,H,FC Barcelona,Levante UD,1:00,CF ,76,Left-footed shot,Frenkie de Jong
20-21,LaLiga,14,19-12-20,H,FC Barcelona,Valencia CF,2:02,CF ,45+4,Header,
20-21,LaLiga,15,22-12-20,A,FC Barcelona,Real Valladolid CF,0:03,AM ,65,Left-footed shot,Pedri
20-21,LaLiga,2,06-01-21,A,FC Barcelona,Athletic Bilbao,2:03,CF ,38,Left-footed shot,Pedri
20-21,LaLiga,2,06-01-21,A,FC Barcelona,Athletic Bilbao,2:03,CF ,62,Left-footed shot,Antoine Griezmann
20-21,LaLiga,18,09-01-21,A,FC Barcelona,Granada CF,0:04,CF ,35,Left-footed shot,Antoine Griezmann
20-21,LaLiga,18,09-01-21,A,FC Barcelona,Granada CF,0:04,CF ,42,Direct free kick,
20-21,Copa del Rey,Round of 16,27-01-21,A,FC Barcelona,Rayo Vallecano,1:02,CF ,69,Left-footed shot,Antoine Griezmann
20-21,LaLiga,21,31-01-21,H,FC Barcelona,Athletic Bilbao,2:01,CF ,20,Direct free kick,
20-21,LaLiga,22,07-02-21,A,FC Barcelona,Real Betis Balompie,2:03,CF,59,Left-footed shot,Ousmane Dembele
20-21,LaLiga,23,13-02-21,H,FC Barcelona,Deportivo Alaves,5:01,CF ,45+1,Left-footed shot,Sergio Busquets
20-21,LaLiga,23,13-02-21,H,FC Barcelona,Deportivo Alaves,5:01,CF ,75,Left-footed shot,Antoine Griezmann
20-21,UEFA Champions League,last 16,16-02-21,H,FC Barcelona,Paris Saint-Germain,1:04,CF ,27,Penalty,
20-21,LaLiga,24,21-02-21,H,FC Barcelona,Cadiz CF,1:01,CF ,32,Penalty,
20-21,LaLiga,1,24-02-21,H,FC Barcelona,Elche CF,3:00,CF ,48,Left-footed shot,Martin Braithwaite
20-21,LaLiga,1,24-02-21,H,FC Barcelona,Elche CF,3:00,CF ,68,Left-footed shot,Frenkie de Jong
20-21,LaLiga,25,27-02-21,A,FC Barcelona,Sevilla FC,0:02,CF ,85,Right-footed shot,Ilaix Moriba
20-21,UEFA Champions League,last 16,10-03-21,A,FC Barcelona,Paris Saint-Germain,1:01,SS ,37,Long distance kick,Pedri
20-21,LaLiga,27,15-03-21,H,FC Barcelona,SD Huesca,4:01,SS ,13,Left-footed shot,Sergio Busquets
20-21,LaLiga,27,15-03-21,H,FC Barcelona,SD Huesca,4:01,SS ,90,Left-footed shot,Francisco Trincão
20-21,LaLiga,28,21-03-21,A,FC Barcelona,Real Sociedad,1:06,SS ,56,Left-footed shot,Sergio Busquets
20-21,LaLiga,28,21-03-21,A,FC Barcelona,Real Sociedad,1:06,SS ,89,Left-footed shot,Jordi Alba
20-21,Copa del Rey,Final,17-04-21,A,FC Barcelona,Athletic Bilbao,0:04,CF ,68,Left-footed shot,Frenkie de Jong
20-21,Copa del Rey,Final,17-04-21,A,FC Barcelona,Athletic Bilbao,0:04,CF ,72,Left-footed shot,Jordi Alba
20-21,LaLiga,31,22-04-21,H,FC Barcelona,Getafe CF,5:02,CF ,8,Left-footed shot,Sergio Busquets
20-21,LaLiga,31,22-04-21,H,FC Barcelona,Getafe CF,5:02,CF ,33,Left-footed shot,
20-21,LaLiga,33,29-04-21,H,FC Barcelona,Granada CF,1:02,CF ,23,Left-footed shot,Antoine Griezmann
20-21,LaLiga,34,02-05-21,A,FC Barcelona,Valencia CF,2:03,CF ,57,Left-footed shot,
20-21,LaLiga,34,02-05-21,A,FC Barcelona,Valencia CF,2:03,CF ,69,Direct free kick,
20-21,LaLiga,36,11-05-21,A,FC Barcelona,Levante UD,3:03,SS ,25,Left-footed shot,
20-21,LaLiga,37,16-05-21,H,FC Barcelona,Celta de Vigo,1:02,SS ,28,Header,Sergio Busquets
21-22,UEFA Champions League,Group Stage,28-09-21,H,Paris Saint-Germain,Manchester City,2:00,RW,74,Left-footed shot,Kylian Mbappe
21-22,UEFA Champions League,Group Stage,19-10-21,H,Paris Saint-Germain,RB Leipzig,3:02,RW,67,Left-footed shot,Kylian Mbappe
21-22,UEFA Champions League,Group Stage,19-10-21,H,Paris Saint-Germain,RB Leipzig,3:02,RW,74,Penalty,
21-22,Ligue 1,14,20-11-21,H,Paris Saint-Germain,FC Nantes,3:01,RW,87,Left-footed shot,Kylian Mbappe
21-22,UEFA Champions League,Group Stage,07-12-21,H,Paris Saint-Germain,Club Brugge KV,4:01,CF,38,Left-footed shot,Kylian Mbappe
21-22,UEFA Champions League,Group Stage,07-12-21,H,Paris Saint-Germain,Club Brugge KV,4:01,CF,76,Penalty,
21-22,Ligue 1,23,06-02-22,A,Paris Saint-Germain,LOSC Lille,1:05,CF,38,Left-footed shot,
21-22,Ligue 1,30,03-04-22,H,Paris Saint-Germain,FC Lorient,5:01,RW,73,Left-footed shot,Kylian Mbappe
21-22,Ligue 1,34,23-04-22,H,Paris Saint-Germain,RC Lens,1:01,RW,68,Left-footed shot,Neymar
21-22,Ligue 1,37,14-05-22,A,Paris Saint-Germain,Montpellier,0:04,CF,6,Left-footed shot,Kylian Mbapp�
21-22,Ligue 1,37,14-05-22,A,Paris Saint-Germain,Montpellier,0:04,CF,20,Left-footed shot,Kylian Mbapp�
21-22,Troph�e des Champions,Final,31-07-22,H,Paris Saint-Germain,FC Nantes,4:00,CF,22,Right-footed shot,
21-22,Ligue 1,1,06-08-22,A,Paris Saint-Germain,Clermont Foot,0:05,CF,80,Left-footed shot,Neymar
21-22,Ligue 1,1,06-08-22,A,Paris Saint-Germain,Clermont Foot,0:05,CF,86,Left-footed shot,Leandro Paredes
22-23,Troph?e des Champions,Final,31-07-22,H,Paris Saint-Germain,FC Nantes,4:00,CF,22,Right-footed shot,
22-23,Ligue 1,1,06-08-22,A,Paris Saint-Germain,Clermont Foot,0:05,CF,80,Left-footed shot,Neymar
22-23,Ligue 1,1,06-08-22,A,Paris Saint-Germain,Clermont Foot,0:05,CF,86,Left-footed shot,Leandro Paredes
